ra,dec,phot_g_mean_mag,bp_rp
17.454975558863598,19.658447661666003,5.389902,0.8770366
6.9935072931764015,19.51395913900821,6.149037,1.1296039
13.993693936227245,27.209432604677705,6.0667286,0.17363405
339.94586554606974,19.681085800530127,6.324999,0.049827576
353.1209509621984,23.843496773596193,5.846312,1.7169652
351.9184087037755,25.167115310142798,5.9768624,-0.07810211
356.8465367594049,26.13120025157405,6.0453315,3.3415146
1.6480426479075143,28.55334561590625,6.428311,1.1318688
0.05330207841187113,38.303987876305065,6.282961,1.1068921
98.36411409369306,-32.22635867666131,6.452154,1.6175332
86.7690381653063,-28.63886739316074,6.198415,-0.20165157
82.27779407032808,-30.11668326277925,6.46546,1.2007027
90.81533908004972,-26.284162348914474,4.5432167,1.5793161
103.48103107877257,-24.53874663397097,6.220591,0.030917168
106.27535646300741,-21.45001565898862,6.420996,1.1623502
99.09515452343238,-18.659821226982327,5.4871345,1.0270319
99.76494496344921,-18.18582312527796,6.2092314,2.2517672
101.71287335558314,-14.425935500431248,5.2448726,0.04140711
99.19415063620691,-13.321172948941204,5.3385334,1.7906404
75.68773335644113,-22.794980985492845,5.3782454,1.3707786
86.10910372271664,-22.42340450564174,5.868166,1.1573954
71.90182063625531,-16.933703052251126,5.318377,0.81800747
78.23312712426376,-16.205534685823757,3.2917867,0.09103608
86.80829368525056,-12.804643934320863,5.9101434,3.1398792
96.08572213334729,-12.96192201038984,6.0797153,-0.08167219
92.27835681085682,-8.301561688085073,6.191441,1.5262318
92.84763677283875,-7.250524630802854,6.4405255,2.87985
97.31414341337742,-8.100651956397185,6.462143,3.3583736
97.20589267434312,-7.034410254187123,5.050337,-0.26303673
83.76118125097135,-6.002022626826358,4.7164865,-0.37281036
88.89730112575666,-4.788708178225351,6.269605,0.07675934
114.85082170904258,-16.84735479127465,5.8731513,1.6436448
116.37134846964074,-14.690624665261788,6.0616055,0.03214836
113.44982947953935,-14.523886220595731,3.8964202,2.316068
67.541764979015,-13.592366185198957,5.9695005,1.1428018
59.13202816556129,-10.853028759711009,6.4423456,0.65156364
65.17849130492928,-7.592506245052333,5.8299437,-0.15730047
83.38102221746291,-1.1560773274582599,5.3096147,-0.24617529
58.57304137139086,-2.954732906896812,4.479679,1.0907807
43.42786006164385,38.337105170901495,5.2669635,0.57826185
89.98371736337808,45.936700316237285,3.0882971,2.294921
88.90658630427572,53.459883767387275,6.2969637,2.5616512
53.39606508627031,39.89927005823699,5.7776785,0.16567945
69.97779923924378,53.07946385425934,4.751208,1.2489586
72.00156599761362,56.75655195980799,5.2256794,0.31653595
80.86613551739529,57.544157123933594,5.2164683,0.033813477
78.26161412686554,61.85005012165136,6.1702156,0.032591343
30.30691949155251,41.2124440028095,6.3513155,1.5944061
34.79495458462602,46.472210614687334,6.180693,0.24490261
0.1819224212320134,45.25333799304286,6.3326764,-0.06424856
9.672841551912532,46.956844873162815,6.4899697,1.1354823
4.287710752549177,47.94738983994935,5.8352237,-0.07922983
21.578524697718308,43.45747650728724,5.854733,0.67779684
19.55779304162413,57.80316285738621,4.701408,3.320984
7.921081345649575,52.83947121942781,5.2499237,1.3262243
13.448885790343452,52.689202262234474,6.2946367,0.22974157
7.943449071209089,54.52217954001499,4.648081,-0.0906558
8.293853625879505,54.89481225467628,5.6511397,1.1848454
44.13873048235117,47.1640088570517,5.638136,1.4380655
41.05222216366374,49.22805187168278,3.9830012,0.6920738
46.26522315384671,52.62825061517567,6.2929726,2.169087
52.01294917356026,49.062754281296215,4.9542418,-0.1159749
33.86937817571631,52.511009442577006,6.471981,1.576313
32.53248741264708,53.84289399435829,6.071417,1.0968647
63.7574570613044,57.460365194314655,5.842825,0.9367714
58.43108707768176,57.9747404420207,5.792563,0.21863699
65.74176628091091,59.61598594535968,6.177563,0.1598568
72.27450305419933,61.50729358974309,5.6741877,3.0958562
55.5386799878536,63.21688594960669,3.9577527,2.5236144
84.46735530442413,71.65417366671066,6.3991776,1.0587773
30.496109408628847,61.90499166294411,6.288867,2.624868
30.75077265273442,64.3900082211575,5.480928,0.60695076
21.907078946597647,66.0769716438197,6.1830196,2.0752187
8.904885800947882,67.92596084644681,6.0199738,2.265428
25.733785655829156,70.62246295889106,5.1695166,-0.021755219
42.99483489071468,68.8884657149681,5.731104,0.9997387
50.263961120700095,73.69907917528944,6.445737,1.4729486
19.05940622782456,87.14540126541512,5.903064,1.2376156
136.71475831361286,38.27836238110204,6.4991035,0.6174445
172.7191633870886,47.928583137899174,6.167954,1.0738597
149.42037389934075,41.05551695585219,4.984309,0.62355614
163.04220935108276,50.26515834849716,6.137124,1.5842957
173.77048412569013,54.785425437732755,5.3531566,1.1886287
159.77289080580104,53.667946529632836,5.159852,1.4098396
159.33526777149854,56.43131510003097,6.2406406,1.273593
179.5858540531669,61.46453633943168,6.4559984,1.2113547
94.57034930420228,46.35986272490915,6.021141,1.271071
92.90256641002273,48.71074051965706,6.194697,0.06491566
112.1811205592092,47.92041992821595,5.3887386,2.7846694
104.93506582586693,52.57235336902763,6.2261133,1.4877648
